tweet.id,user.id,dataset.author.name,majority_polarity,text,moralbert,roberta_mmp,roberta_mm,liwc_mfd,persp_bert,moral_label,moral_label_polarity,moral_label2
936495855,14456822,emergingtech,neg,McCain likes the bears in Montana joke too much #tweetdebate #current,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936495925,7862582,HunterTech,neg,-1 McCain should not joke about bear DNA #tweetdebate,nonmoral,purity,purity,nonmoral,loyalty,purity,no moral,purity
936496070,13524042,gwfrink3,neg,mccain -1 answer the question!  #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936496087,1040391,daveevans,neg,-1 McCain flag waving pandering about American workers #tweetdebate,nonmoral,loyalty,fairness,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936496331,10846482,Duhh,neg,-2 McCain for stringing too many colloquialisms together and post-Reaganomics sensationalism #tweetdebate,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,nonmoral,no moral,nonmoral
936497173,14935605,Nicole Beauchemin,neg,McCain -3 for personal attack #tweetdebate,nonmoral,nonmoral,care,care,nonmoral,care,no moral,care
936498451,14570089,themurmish,neg,#tweetdebate generic debate so far. They won't even look at each other.,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936501351,9448792,jowyang,neg,"so far, the debate reminds me of a school yard scolding #tweetdebate",nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
936501672,14759482,CarriBugbee,neg,computer for their kid? maybe the parents don't have one. #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
936502132,1196381,MichelleMMM,neg,@pamelawella is that what makes him look like that? have always wondered..:) #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
936502843,15301800,CarriBugbee,neg,Earmark spending has tripled over the last 5 years. Hasn't it been a Republican Administration for the last 7? #obamashot #tweetdebate,authority,nonmoral,nonmoral,nonmoral,authority,authority,authority,nonmoral
936503059,15087889,lumatts,neg,"it's like you can see Obama trying to remember all the ""talking points"" and get his slogans out there #tweetdebate",nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
936503722,15826907,vanhoosear,neg,McCain: I don't mean to go back and forth??? I thought this was a debate. #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936504075,1196381,teedubya,neg,"-1 McCain #tweetdebate ""I didn't win Miss Congeniality"" but his VP did!",nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
936504189,15136484,CarriBugbee,neg,McCain -3 personal attack & -2 does he have evidence for this accusations to Obama #tweetdebate,authority,nonmoral,nonmoral,care,nonmoral,nonmoral,authority,nonmoral
936504394,2056341,bluejack,neg,Obama on the defensive.  #tweetdebate,authority,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,authority,nonmoral
936504405,14456822,PeterDeb,neg,#current #tweetdebate #mccainshot Stop interrupting Obama McCain was just about to say my friends,loyalty,nonmoral,nonmoral,nonmoral,loyalty,loyalty,loyalty,nonmoral
936504460,2878161,FrancesFlynnTho,neg,Mccain: the sherrif?  uh? #tweetdebate #current,nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936504555,14898808,elaineschoch,neg,Jim Lehrer is having trouble getting them actually debating... fire up guys! #tweetdebate #debate08,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
936504645,9806742,damnneargenius,neg,McCain -1 for failing to address the keystone tax cut issue #tweetdebate,nonmoral,fairness,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936505751,11096862,3locina,neg,McCain's laugh sounds like Bush's!!  SCARYY!!  #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936505804,13524042,xylem,neg,#tweetdebate they won't even make eye contact. no one is responding directly,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
936505931,14092507,aureliusmaximus,neg,"McCain seems to start every sentence with ""the point is that...."" #tweetdebate #current",nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936506398,13662722,aeditor,neg,"#tweetdebate Weird that McPain brings up all the Repub bilksters in jail. He wants to separate himself, but doesn't seem like good strategy!",nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
936506977,15627816,CarriBugbee,neg,McCain cant even look at him..he must have gas! #tweetdebate,nonmoral,nonmoral,authority,nonmoral,care,nonmoral,no moral,nonmoral
936507300,15301800,blackvoices,neg,@MaryTrigiani Hilarious line ... would have been better if Palin didn't ... #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
936507871,11549612,damnneargenius,neg,"I really would like to see Obama & McCain actually engage each other,rather than just talking to the camera #current #tweetdebate",nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
936508054,14753323,dbradleyfacebk,neg,#tweetdebate -1 Obama for not answering earmark claim by McCain,authority,fairness,nonmoral,nonmoral,nonmoral,nonmoral,authority,nonmoral
936508498,13662722,NTWhite,neg,#tweetdebate McPain: we're exporting jobs 'cause of hi biz taxes. NOT because of cheap labor? Oh geez...,fairness,nonmoral,nonmoral,nonmoral,fairness,fairness,fairness,nonmoral
936509631,14685869,ipapyrus,neg,McCain really believes earmarks got us into this mess and tax cuts will get us out of it? #tweetdebate,fairness,fairness,nonmoral,nonmoral,fairness,fairness,fairness,fairness
936509870,666913,gminks,neg,"#tweetdebate looks like McCain can't make eye contact with Obama and respond directly to him. dang! there goes ""my friends"" again.",loyalty,nonmoral,loyalty,nonmoral,loyalty,loyalty,loyalty,loyalty
936509906,10450342,lkblum,neg,@current #current How can you give all those tax breaks and expect the economy to not go futher into the hole?,nonmoral,fairness,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936509924,14936857,naum,neg,McCain wants us to read his lips #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
936509930,816247,SukiFuller,neg,@davidweiner You're playing that game?  I'm drinking everytime I hear #economy.,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
936509958,15136484,bluejack,neg,"McCain -1 avoiding the question? wait, waht was the question exactly.. #tweetdebate",nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
936510098,9806742,FrancesFlynnTho,neg,McCain -1 for failing (again) to heed the moderator's instructions #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936511016,755294,TheDailyDG,neg,"Because I don't have an HDTV, McCain's moire-effect tie is giving me a skull-crushing headache #tweetdebate",nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
936511049,15399643,themurmish,neg,"@current  Ah yes, the pot and the kettle are debating who is to blame for the proverbial heat in the kitchen.  #current",nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
936511288,13524042,johnnycho,neg,Mccain -1 for looking down and grinning #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
936513239,13662722,WazNeeni,neg,"#tweetdebate PLEEZE people, can we elect someone this time around who is SMART and ARTICULATE? F*ck having a beer with him/her...",nonmoral,authority,nonmoral,nonmoral,purity,nonmoral,no moral,nonmoral
936513363,14246362,kdpaine,neg,-1 McCain for breaking the debate rules. #tweetdebate,nonmoral,nonmoral,authority,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936513493,14456822,sbjet,neg,Christmas trees are economic issues McCain?  #current #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936514134,15136484,jas_aiken,neg,"Mccain -3 personal attack and don't like the quote again ""walk the walk..talk the talk stuff"" nope doesn't work for me #Tweetdebate",nonmoral,nonmoral,nonmoral,care,care,care,no moral,nonmoral
936514698,14570089,SukiFuller,neg,#tweetdebate McCain can only play one tune.,nonmoral,nonmoral,authority,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936514798,8755102,cmarlow480,neg,Health care costs and social spending sounds like chump change compared with Corporate Welfare. #current #tweetdebate #debate08,fairness,nonmoral,nonmoral,care,fairness,fairness,fairness,nonmoral
936515553,7862582,93octane,neg,-3 McCain for taling in circles. I don't understand what he is saying. #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
936515629,13918302,andrewkgay,neg,"How long until McCain notes the amount of times Obama voted ""Present"" rather than Yea or Nay? #tweetdebate",nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
936516081,14246362,themurmish,neg,-1 Obama for breaking the debate rules and walking over the moderator. #tweetdebate,authority,nonmoral,authority,nonmoral,nonmoral,authority,authority,authority
936516280,14936857,bchesnutt,neg,McCain -1 for hogging the mic. #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
936516523,16371078,themurmish,neg,"#tweetdebate Obama right to focus on issues in deregulation, and McCain ignoring these issues",authority,authority,nonmoral,nonmoral,nonmoral,nonmoral,authority,authority
936517349,10819792,aagha,neg,McCain -1 weird smirking/laughing #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936517836,10450342,sairy,neg,@current #current Obama is stuttering too much. Sounds like Porky Big,nonmoral,nonmoral,authority,nonmoral,loyalty,nonmoral,no moral,nonmoral
936519680,14813827,bethclauss,neg,-3 McCain still attacking Obama (and spends more time looking at the podium) and -5 for that smile #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936520097,22203,starweaver,neg,I only just remembered that this was a foreign policy debate. #tweetdebate #current #debate08,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936520256,10846482,MyMelodie,neg,-1 Obama for too many disclaimers re: potential economic recovery plan #tweetdebate,authority,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,authority,nonmoral
936520938,15399643,barbaranixon,neg,"@current Healthcare is a financial killer in our capitalist society, oh the irony.  #current",fairness,nonmoral,care,care,care,care,fairness,care
936521361,15301800,themurmish,neg,"@MaryTrigiani Yes, when she lost Miss Alaska.",nonmoral,nonmoral,fairness,nonmoral,care,nonmoral,no moral,nonmoral
936521419,3646761,jgee,neg,-1 to Obama for leaving out conservation in the list of things that will free us from foreign oil #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936521570,14456822,nericksx,neg,What is obama talking about with electricity? #current #tweetdebate,nonmoral,nonmoral,authority,nonmoral,care,nonmoral,no moral,nonmoral
936522152,15136484,johnnycho,neg,"Obama -1 what are you ""giving up"" in terms of spending exactly #tweetdebate",nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936523206,15136484,Adam Zand,neg,McCain -3 another personal attack  #tweetdebate,nonmoral,care,nonmoral,care,nonmoral,nonmoral,harm,care
936523593,2896341,themurmish,neg,"#tweetdebate ""I oppose"" drinking game -- bottoms up!",authority,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,authority,nonmoral
936523703,14246362,kdpaine,neg,"-3 McCain Personal attack, it is hard to reach across the aisle when one is that far to the left. #tweetdebate",nonmoral,nonmoral,nonmoral,care,care,care,no moral,nonmoral
936524077,10450342,Darnell Clayton,neg,@current #current How in this day and age can you deny help to anyone who wants to produce alternative fuel -4 McCain,nonmoral,nonmoral,care,care,fairness,care,no moral,care
936524912,13662722,starweaver,neg,"#tweetdebate How many people know what ""cost-plus"" contracts are? I wouldn't know if I hadn't worked for construction-related clients.",nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936525016,666913,Will Reynolds Young,neg,McCain -1 for false claims on Obama's voting record. #tweetdebate,fairness,fairness,fairness,nonmoral,nonmoral,fairness,fairness,fairness
936525121,16371078,cmarlow480,neg,"#tweetdebate defence contract inefficiency in contracts not the problem, a symptom, warring foreign policy is the REAL problem",nonmoral,authority,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936525158,15455810,KenHUffman,neg,"Unfortunately, Obama didn't answer the question of what would he cut...#debate08 #tweetdebate",authority,nonmoral,nonmoral,nonmoral,fairness,nonmoral,authority,nonmoral
936526171,14456822,twittelator,neg,The moderator looked scary just now  #current #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
936526239,15136484,ObamaNews,neg,Mccain +3 examine quote ok.. but -1 not answering the question #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936526672,14246362,webbing10,neg,"-1 Obama for his crazy stuttering. Slow down, think and THEN speak #tweetdebate",authority,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,authority,nonmoral
936526932,9806742,gwfrink3,neg,McCain -2 for false statement Obama does not have the most liberal record  #tweetdebate,nonmoral,fairness,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936527240,14935605,changeforge,neg,McCain -2 for bringing federal prison into every question; is he thinking he's lucky not to be there himself? think Keating #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936528118,9806742,NTWhite,neg,McCain -1 for mischaracterizing a naval program #tweetdebate,fairness,fairness,nonmoral,nonmoral,nonmoral,nonmoral,cheating,fairness
936529425,2056341,shrekserve,neg,"#tweetdebate hahahah...""wildly liberal"" is just me opposing bush's wrongheaded policies",authority,nonmoral,loyalty,nonmoral,nonmoral,nonmoral,authority,nonmoral
936529775,14208721,francishopkins,neg,Google for government? huh? #tweetdebate,purity,nonmoral,nonmoral,nonmoral,fairness,nonmoral,degradation,nonmoral
936529789,15504947,lumatts,neg,-1 Obama not answering question about specific cuts #tweetdebate,authority,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,authority,nonmoral
936530170,3675881,bmaleszyk,neg,"Obama - ""Where's the teleprompter and cue cards!?"" #current #tweetdebate",nonmoral,nonmoral,nonmoral,nonmoral,authority,nonmoral,no moral,nonmoral
936530910,806323,c4chaos,neg,Obama -1 for evading question on what to cut #tweetdebate,nonmoral,fairness,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936531219,16478214,RobSample,neg,Dang tweeting while pausing the Tivo is not the right thing to do #current #debate08 #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
936531236,14717846,93octane,neg,Where's the foreign policy part of the debate??? :S  #tweetdebate #current,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936531392,806323,lumatts,neg,McCain -1 for evading question on what to cut #tweetdebate,nonmoral,fairness,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936538267,9806742,akohler,neg,McCain -1 for evading question on what to cut #tweetdebate,nonmoral,fairness,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936531490,15301800,foolthrottle,neg,#tweetdebate Using a hatchet when you need a scalpel. #obamashot,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
936531637,7862582,cuban_dudeca,neg,Obama soundbite: problem with a spending freeze is youre using a hatchet when you need a scalpel #tweetdebate,authority,nonmoral,nonmoral,nonmoral,fairness,nonmoral,authority,nonmoral
936531665,15136484,elaineschoch,neg,Mccain -1 what? spending freeze ??? unclear at all #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936532209,14456822,Sarah,neg,Close ups of Obama make him look old  #current #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,authority,nonmoral,no moral,nonmoral
936532362,3675881,themurmish,neg,Obama- I wanna keep spending money--his Early Childhood education is full of crap. #current #tweetdebate,nonmoral,fairness,authority,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936532467,1196381,RoninVision,neg,-3 mccain #tweetdebate spending freeze for everything but defense -- what about our children? our education? energy independence?,care,care,nonmoral,nonmoral,fairness,care,care,care
936533195,15399643,TheMacG33k,neg,"@current Damn, McCain just had to play the terrorist card. #current",nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
936533757,2621551,timothyjordan,neg,more nukes is not the answer #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,authority,nonmoral,no moral,nonmoral
936534020,15504947,akohler,neg,-1 McCain's off topic on counterpoint about spending cuts    #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936534217,8514872,RobSample,neg,"McCain really shouldn't think off the cuff, he'll paint himself into a corner very quickly  #tweetdebate #current",nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936534522,9806742,myhairhurts,neg,McCain -1 for a stunt. Spending freeze is classical BS #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936534603,14208721,Idgit,neg,What the heck is the line graph at the bottom of CNN's screen? Looks like my pulse! #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936535256,14456822,RobinDeCato,neg,Yes Obama I want to hear more about your superiority  #current #tweetdebate,fairness,nonmoral,nonmoral,nonmoral,fairness,fairness,cheating,nonmoral
936535451,11765872,coffeemakergirl,neg,McCain -2 Nuclear power is limited too dude! By 2050 we are out of Uranium! And your power plant is done in 2030 #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
936537270,10796472,invalidtwit,neg,Spending freeze? Really McCain? #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936537359,16371078,DonIrvine,neg,#tweetdebate agree with Obama - McCain hatchett job -ive step. We need a scalpel. Granularity of growth argument.,nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
936537942,14935605,tracy1314,neg,McCain -3 for total nonsense #tweetdebate,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
936538123,3675881,Kristasphere,neg,Obama - spending on healthcare--he couldn't admit that this spending must stop!   #current #tweetdebate,fairness,nonmoral,authority,care,care,care,fairness,fairness
