tweet.id,user.id,author.nickname,sentiment,target,text,moralbert,roberta_mmp,roberta_mm,liwc_mfd,persp_bert,moral_label,moral_label_polarity,moral_label2
10830445967,22393263,indjunjoe,positive,hcr,"Okay, this is a done deal. Anybody knows a good spot to watch the end of the world, before things go back to normal tomorrow? #hcr",nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
10830419024,26459660,RTHTGakaRoland,negative,hcr,SAVE A PRESIDENCY - KILL A CONSTITUTION?? http://bit.ly/BooHooHoo  @bacaca43 @repjohnbarrow #tweetcongress #hcr,authority,care,loyalty,nonmoral,authority,authority,authority,authority
10830224555,1146211,ianblue,positive,hcr,"LMAO! moments before #HCR passes and there are less than 100 teabaggers on the Hill, while thousands march 4 immigration reform! #tcot #p2",nonmoral,loyalty,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
10830509833,16434558,LyndaOFA,positive,hcr,Speaker Pelosi wielding the same gavel today used to pass Medicare. #HCR #OFA  #p2,fairness,nonmoral,nonmoral,nonmoral,fairness,fairness,cheating,nonmoral
10830548147,37089229,Nanmac3109,negative,gop,RT @blackjedi47    Since #GOP hates to take responsibility as of today they won't have to. #HCR #HCR #p2,nonmoral,nonmoral,authority,nonmoral,authority,authority,no moral,nonmoral
10830501515,16563576,PilarMarrero,neutral,hcr,"Today #HCR will pass in DC Also #immigration marches going on in DC and Los Angeles, asking for reform.",nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
10828169696,54748372,1oldcoot,negative,conservatives,Today's TeaParty recruitment special - free hood with robe purchase. Today only!\n\n#GOP #tcot #p2 #foxnews #iamthemob #hcr #teaparty,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
10830519040,26373615,aka_sana,neutral,hcr,Watch #hcr vote live. http://www.huffingtonpost.com/2010/03/21/health-care-vote-live-upd_n_507238.html#s75012,nonmoral,nonmoral,nonmoral,care,care,care,no moral,nonmoral
10830623081,5227331,Cubachi,neutral,hcr,RT @philipaklein: RT @JeffreyYoung_HC: Dem Reps. Lincoln Davis (TN) and John Tanner (TN) will both vote no again on #hcr,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
10829671367,53578813,TxJogger12,positive,conservatives,"RT @LarryGeary: We need to find EXCELLENT, CONSERVATIVE candidates to oppose EVERY Democrat in Nov. #teaparty #killthebill #hcr #tcot #palin",nonmoral,care,authority,nonmoral,care,care,no moral,nonmoral
10830731011,22303656,sarahjoyhays,negative,hcr,RT @toddeherman: RT @GOPinkPolitics: DON'T GIVE UP! I GOT THRU TO STUPAK ON THIS NUMBER 202-225-4735   just minutes ago! #hcr #tcot,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
10830634629,15976988,schmiss,negative,other,"Why was the vote held 25 minutes?'' So we could hear additional crazy people on the C-SPAN phonelines, duh. #hcr #cspan",nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
10828999989,23831682,ReaganGomez,neutral,hcr,"Watching, probably the best show on TV today, The #HCR reality show on C-Span.",nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
10799514265,7597712,PajamasMedia,negative,hcr,Larrey Anderson: Probable Constitutional Challenges to #ObamaCare http://bit.ly/bvXxur #tcot #hcr #handsoff,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
10830839860,37063147,tdpwells,negative,hcr,The American Republic will endure until the day Congress discovers that it can bribe the public with the public's money.'' #tcot #hcr,authority,authority,authority,nonmoral,loyalty,authority,authority,authority
10830942027,17233536,ColorMeRed,negative,hcr,Stupak's office is counting calls...just say NO..nothing else. Be grateful that you can get through. 202-225-4735 #hcr #killthebill,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
10830929534,18925783,RightKlik,negative,hcr,"Newsflash for libs: It's not health care. It's taxation, debt, bureaucracy, regulation, & control #hcr #p2 #tcot",fairness,authority,nonmoral,care,care,care,cheating,fairness
10831043692,29350302,secularstupiddd,neutral,hcr,RT @GaryWhitney: Rep Jan Schakowsky: 50 Dems Wld Walk If Stupak Language Is Re-Ins http://bit.ly/WalkOut #hcr #tcot #killthebill #teaparty,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
10830977456,40959209,tonygk,positive,hcr,"Nobody wants to be the deciding vote on the most historic, compassionate, and moral legislation ever. #hcr",loyalty,nonmoral,care,care,care,care,betrayal,care
10830816390,15174710,MomsRising,positive,hcr,"Rep. Sanchez still undecided! Tweet @lorettasanchez NOW to vote yes on #HCR. 1/4 in CA uninsured - 190,000 in her dist!  Please RT",nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
10831053775,26918145,midlifechick,negative,hcr,Tell STUPAK to vote No on #HCR: Phone: (202) 225 4735 Fax: (202) 225 4744 use FREE/online http://is.gd/aROYx  for faxing,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
10830955338,50769180,IngrahamAngle,negative,hcr,Disturbance in the House gallery #tcot #hcr,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
10831230124,26459660,RTHTGakaRoland,negative,dems,"ALL OF YOU WILL FRY ON ELECTION DAY, 2010. @neilabercrombie @reptammybaldwin #tweetcongress #hcr",nonmoral,care,loyalty,nonmoral,fairness,nonmoral,no moral,nonmoral
10831297111,15380559,bluffcityjk,positive,hcr,Where was all this public passion when they passed the Patriot Act (and really did erode our liberty)? #hcr,nonmoral,fairness,care,nonmoral,fairness,fairness,no moral,nonmoral
10829978672,21634627,jcohntnr,positive,conservatives,My closing argument for #healthreform: It's about a lot more than health care. http://bit.ly/cgo1an #hcr #tcot #politics,nonmoral,fairness,fairness,care,care,fairness,no moral,fairness
10831453505,14728168,MelissaTweets,negative,hcr,RT @jasoncarini: STUPAK office recording yeas & nays of callers on #hcr bill - PLS call 202.225.4735 #tcot #sgp #rfvradio (via @MediaLizzy),nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
10831345679,14347931,rkref,positive,hcr,"RT @mardod: Quick procedural question, does Hoyer pour the Gatorade over Pelosi's head when they get to 216 or when the vote is over? #hcr",nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
10831460002,25504953,D_R_Berry,negative,hcr,I was able to reach Stupak's office! Call 202-225-4735 now!! #tcot #killthebill #hcr #tweetcongress,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
10831131408,14465607,latimestot,negative,hcr,Why wait for the House? Cast your vote on Obamas healthcare bill now; See the trend http://bit.ly/8YtetO #tcot #sgp #dc @#hcr #p2 #politics,nonmoral,nonmoral,nonmoral,care,authority,nonmoral,no moral,nonmoral
10831610201,26812918,afashionfan,negative,hcr,RT @SaysMissy I'm so Proud of my fellow Patriots in DC chanting  #KILLTHEBILL #KILLTHEBILL #KILLTHEBILL #KILLTHEBILL #KILLTHEBILL  #hcr,loyalty,loyalty,loyalty,loyalty,loyalty,loyalty,loyalty,loyalty
10830826604,5496932,NRCC,negative,hcr,Retiring Dem Tanner's (D-TN) `NO' vote on #hcr takeover forces Pelosi to find another `YES' http://is.gd/aRO4y #gopcodered,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
10830245151,24103365,orca5252,negative,gop,RT @MishaRN RT @delrayser:Jon Stewart said it a while ago but bears repeating today: I think you might be confusing tyranny with losing #hcr,nonmoral,authority,authority,nonmoral,loyalty,authority,no moral,authority
10828622487,7713202,GOPLeader,negative,hcr,Boehner:  ``Pro-Life'' Democrats Can't Hide Behind an Executive Order http://ow.ly/1p40X #hcr,authority,authority,loyalty,nonmoral,authority,authority,authority,authority
10830313599,7713202,GOPLeader,negative,hcr,RT @RasmussenPoll It's time to decide and new poll shows 54% of voters oppose Dems' #hcr http://ow.ly/1p4en,nonmoral,nonmoral,nonmoral,nonmoral,authority,nonmoral,no moral,nonmoral
10831510574,14377605,DemocratsDotOrg,positive,hcr,"RT @RepMikeHonda: Today we'll fix a broken health ins. system. #HCR is not about politics, it is a matter of justice & basic human decency.",fairness,fairness,fairness,care,fairness,fairness,fairness,fairness
10820944597,16170115,ShelbyKnox,negative,hcr,President @BarackObama - the Hyde Amendment kills. Don't pass #hcr on the backs of women - NO EXECUTIVE ORDER for #stupak.,fairness,fairness,fairness,care,loyalty,fairness,cheating,fairness
10831781060,47762195,QueerjohnPA,positive,other,RT @geoff9cow: @WeGotEd ''We have an African American President. We have a woman Speaker of the House. W/#hcr this is a big day for America.'',nonmoral,fairness,fairness,nonmoral,loyalty,fairness,no moral,fairness
10831757133,17934084,ConservativeLA,negative,hcr,Paul Ryan on floor. ''The mother of all unfunded mandates.'' #killthebill #HCR #codered #tcot,nonmoral,nonmoral,nonmoral,care,care,care,no moral,nonmoral
10831520311,16840724,kokomoko,negative,obama,RT @SaysMissy Obama Has divided this country like no other President...#killthebill #tcot #gop #hcr,authority,nonmoral,authority,loyalty,authority,authority,authority,authority
10831823518,21430455,larrydhalstead,negative,gop,"Do you rember all of this Congressional Debate before Bush spent a Trillion dollars on Iraq war? Yeah, neither do I   #P2 #tcot #hcr",nonmoral,nonmoral,nonmoral,loyalty,care,nonmoral,no moral,nonmoral
10831878188,18664838,mparent77772,neutral,hcr,"If phones busy, FAX Reps: http://bit.ly/LYH2U Use FREE/online fax: http://bit.ly/13F4ge /@GottaLaff @charyl @Gr8RDH \n#hcr #hc",nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
10831640468,22280445,HEALTH_NOTES,neutral,hcr,2:10P - House Rule Chair Louise Slaughter (D-NY) calls up ''rule'' on House #hcr floor procedure - THEY'RE OFF!,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
10831888612,17293897,BorowitzReport,negative,conservatives,Ignore the Teabaggers: there are no plans to turn the DMV into the nation's waiting room. #hcr,nonmoral,nonmoral,nonmoral,loyalty,authority,nonmoral,no moral,nonmoral
10831852541,17088305,charyl,positive,dems,"RT @tllanes: She's fierce, y'all!  Pelosi marches to Cong w/John Lewis, carrying gavel usd to pss Medicare in 1965 http://bit.ly/aDsLI9 #hcr",nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
10831744899,19014959,GenRachel,positive,conservatives,"Paul Ryan, 'This bill is the Mother of all Funded Mandates'' #hcr",nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
10831999206,20111100,wethepeopleusa,negative,dems,"If our Founding Fathers could see Pelosi walking into the Capital Building with her gavel, they'd hit her on the head with it. #tcot #hcr",nonmoral,nonmoral,authority,nonmoral,fairness,nonmoral,no moral,nonmoral
10832136993,19014959,GenRachel,negative,liberals,"Oh nooooo, not Patrick Kennedy........quick give him an ambien..#hcr #tcot",nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
10832168330,12144232,stephenkruiser,negative,liberals,Dead Sister's Teeth just invoked Dead Teddy Kennedy! #hcr #shameless,purity,care,nonmoral,nonmoral,loyalty,nonmoral,purity,nonmoral
10832213253,31057963,southsalem,positive,conservatives,We have Paul Ryan. They have Patrick Kennedy. Nuff Said! #tcot #teaparty #killthebill #hcr #ocra,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
10831895566,30040009,mrsazrepublican,neutral,other,AZ Gov Brewers letter to Pelosi & Reid re: #HCR http://ow.ly/1p544 #killthebill #codered,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
10832360587,27783848,TheFlaCracker,negative,hcr,"@WeThePeople1st: ''We will not waver,we will not tire, we will not falter, & we will not fail.'' - #TWEETCONGRESS #KILLTHEBILL #TEAPARTY #HCR",loyalty,loyalty,loyalty,nonmoral,care,loyalty,loyalty,loyalty
10832357897,20819456,GetsGreased,positive,conservatives,"Paul Ryan on Floor: listed all the new #HCR reform MANDATES on people, businesses & states. Too many to list. #tcot #tlot #p2 #teaparty #gop",nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
10832017448,15612282,ladylibertas93,negative,dems,RT @ConservativeLA: Dems are so emboldened they're doing deals on the floor. Disgusting. #killthebill #HCR #codered #tcot #GOP #GOPcodeRED,purity,purity,authority,nonmoral,care,purity,degradation,purity
10832185057,17748830,fenster303,negative,gop,"Sorry, but I have to laugh at Republicans spewing venom about debt and deficits after driving our country into a ditch. #hcr #p2",nonmoral,authority,authority,loyalty,loyalty,authority,no moral,authority
10831195640,29716801,Paceset9999,negative,liberals,RT @RedDevilRio: TYRANNY is Purple UNION THUGS paid to march http://bit.ly/SMARTChoice #tweetcongress #hcr,loyalty,nonmoral,loyalty,nonmoral,authority,loyalty,betrayal,loyalty
10832368328,22184830,robdiwa,positive,conservatives,RT @NorsU: RT @southsalem: We have Paul Ryan. They have Patrick Kennedy. Nuff Said! #tcot #teaparty #killthebill #hcr #ocra,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
10832520815,15119140,maureenjohnson,positive,hcr,"Of all forms of inequality, injustice in health care is the most shocking and inhumane.'' -MLK #HCR",fairness,fairness,fairness,fairness,care,fairness,cheating,fairness
10832532323,14373055,kevinpadams,negative,conservatives,"Rep. Ryan believes in the CBO when it comes to missles & warships, but dismisses it when it comes to social welfare. #hcr",loyalty,nonmoral,care,nonmoral,fairness,loyalty,betrayal,nonmoral
10832458274,39997457,Darth_Velocity,negative,liberals,Here we go with the Kennedy card.....keep playing it...can you say ''Chappaquiddick''?  Nuf said. #hcr #killthebill #hcr,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
10832380183,39375286,BPD707,positive,conservatives,RT @Zener39: RT @JackieSeal    RT @JoeKenHa: ''We can't even afford the government we have now'' -Paul Ryan #tcot #hcr,nonmoral,nonmoral,nonmoral,nonmoral,authority,nonmoral,no moral,nonmoral
10832213405,33986037,wonkroom,negative,conservatives,RT @MPOTheHill: Stupak just said there's no agreement. He's a no on #hcr until one is struck.,nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
10832623651,15976697,michellemalkin,negative,hcr,RT @BDayspring: Breaking: The Hill reports ''Dems don't appear to have 216 hours before #hcr vote'' \n http://ow.ly/1p5fL,nonmoral,nonmoral,nonmoral,nonmoral,authority,nonmoral,no moral,nonmoral
10832638493,5227331,Cubachi,negative,hcr,RT @michellemalkin RT @BDayspring: Breaking: The Hill reports ''Dems don't appear to have 216 hours before #hcr vote'' http://ow.ly/1p5fL,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
10832593096,48109396,JackieSeal,positive,conservatives,we govern by consent of the governed. That principle is being turned on it's head today.'' -Paul Ryan #hcr #killthebill #tcot,authority,authority,authority,authority,authority,authority,authority,authority
10832681018,16787084,EdMorrissey,negative,hcr,RT @michellemalkin: RT @BDayspring: Breaking: The Hill reports ''Dems don't appear to have 216 hours before #hcr vote'' http://ow.ly/1p5fL,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
10832622739,34698840,AmericanInkling,negative,hcr,Stupak & Co. should be looking at how Scott Brown became a national hero after opposing OCare-better than being national traitor. #tcot #hcr,loyalty,loyalty,loyalty,authority,fairness,loyalty,betrayal,loyalty
10832672827,20819456,GetsGreased,negative,hcr,Paul Ryan on Floor: Only way for Govt Takeover to be fiscally responsible will be to ration #healthcare. #tcot #hcr #p2 #teaparty,nonmoral,authority,authority,care,care,authority,no moral,authority
10832709981,23696410,BrentTeichman,negative,hcr,@RepPaulRyan just now on the floor of the House of Reprehensibles: ''This Bill is a Fiscal Frankenstein'' #HCR,nonmoral,authority,nonmoral,nonmoral,authority,nonmoral,no moral,nonmoral
10832691940,15976697,michellemalkin,neutral,hcr,RT @toddstarnes: Dem  Chaka Fattah compares Healthcare passage  to the resurrection of Jesus Christ. #hcr,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
10832654029,27741612,alecjacobs,negative,dems,RT @michellemalkin: RT @BDayspring: Breaking: The Hill reports ''Dems don't appear to have 216 hours before #hcr vote'' http://ow.ly/1p5fL,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
10832078077,16472571,sunshineejc,positive,gop,"I haven't changed, my party has!''---Olympia Snowe(R}-- #tcot #tlot #gop #hcr #ocra #p2 #ucot #teaparty #topprog",nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
10832806194,15976697,michellemalkin,negative,hcr,RT @cathymcmorris: Rep. Paul Ryan just summarized it best: ''This bill is a fiscal Frankenstein'' #hcr,nonmoral,nonmoral,nonmoral,nonmoral,authority,nonmoral,no moral,nonmoral
10832714840,25891954,DiggsWayne,positive,hcr,Why don't the people against #HCR just confess to the fact that they are in love with the idea of genocide?,care,care,care,care,fairness,care,harm,care
10832814336,15968882,cassyfiano,negative,dems,RT @EdMorrissey: RT @michellemalkin: Breaking: The Hill reports ''Dems don't appear to have 216 hours before #hcr vote'' http://ow.ly/1p5fL,nonmoral,nonmoral,nonmoral,nonmoral,authority,nonmoral,no moral,nonmoral
10832838320,43035186,Sannri,neutral,hcr,PHOTO :-) we'll see which side of  #hcr he's on after the vote RT @MarkShepard Unusual pic of Bald Eagle ''dancing'' http://bit.ly/17q50x,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
10832933300,26010462,KarenWhitworth,negative,hcr,Grrrrrr ]-/ RT @HenryJennings: Since when does ''massive tax hike on everyone'' get passed off as ''glorious deficit reduction''? #teaparty #hcr,nonmoral,fairness,nonmoral,purity,fairness,fairness,no moral,nonmoral
10832927131,19430999,KING5Seattle,neutral,hcr,House debate on Health Care Bill - watch live: http://bit.ly/9JXO9e via @msnbc  [vote expected this evening]  #hcr,nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
10832900673,16503569,rebeccay,negative,liberals,RT @mcwbr: You bastards used reconciliation to give tax cuts to the wealthy during a war. #p2 #hcr #tcot,fairness,fairness,fairness,loyalty,authority,fairness,fairness,fairness
10833049960,28902856,Todd_Zwillich,neutral,hcr,"Rep DeGette sez pro choice members in 1 rm, Stupak in another, with WH & Pelosi officials running shuttle between them #hcr",nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
10832840184,16434558,LyndaOFA,neutral,hcr,Now hearing the #HCR vote may be pushed to late tonight. Keep the calls going: http://bit.ly/cN47E1 #OFA #p2,nonmoral,nonmoral,nonmoral,nonmoral,authority,nonmoral,no moral,nonmoral
10833100443,15454730,paustin110,negative,hcr,Kill The Bill Sunday (UPDATED): http://bit.ly/9ZeH5e Just updated - they still DO NOT have the votes!  #killthebill #hcr,nonmoral,nonmoral,nonmoral,nonmoral,authority,nonmoral,no moral,nonmoral
10832394857,16081831,meredithshiner,neutral,hcr,Crammed into an elevator with reporters Stupak says he's still a ''no'' and that no agreement has been reached. #hcr,nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
10833192049,27759798,SamiShamieh,negative,obama,Obama Admits HealthCare-Not Jobs or the Economy-Is `Most Important Domestic Priority' http://short.to/1qdaq #tcot #HCR,authority,nonmoral,nonmoral,nonmoral,care,nonmoral,authority,nonmoral
10833161583,27676828,PatrickMcHenry,positive,dems,"The passage of this #hcr takeover lays in the hands of just a few Dems, we are keeping the heat on them and you should too. Speak up!",nonmoral,authority,authority,nonmoral,loyalty,authority,no moral,authority
10833205142,15976697,michellemalkin,neutral,hcr,RT @AoSHQ: Voting Begins http://bit.ly/9JbVLp #hcr (the vote to proceed on the vote),nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
10833533574,18964129,purist1,negative,hcr,"If U like how the Post Office is run, you'll like Govt Controlled Health Care. #HCR #handsoff #healthcare",nonmoral,authority,nonmoral,care,fairness,nonmoral,no moral,nonmoral
10833553675,18286677,skigarmisch,negative,hcr,"If u think the #hcr bill will be better 4Americans, I've got a bridge 2sell you in Brooklyn. #p2 #tcot #killthebill #sgp",nonmoral,nonmoral,nonmoral,nonmoral,care,nonmoral,no moral,nonmoral
10833545541,14554800,fatherz,neutral,hcr,"as recent as 20 min ago, Stupak is still a NO vote according to Carl Cameron #tcot #hcr",nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
10833463538,21417832,standinthegap,negative,hcr,So BO is 4 your #healthcare as long as you're NOT a senior & you're NOT in the womb & you're NOT near death? #hcr #tlot #tcot #killthebill,nonmoral,care,nonmoral,care,care,care,care,care
10833619981,39313085,JoanOfSnark,negative,gop,"Issa:  80 GOP amendments fixing many earmarks offered, all denied review. #tcot #hcr  House goes out of order...haha",nonmoral,nonmoral,nonmoral,authority,nonmoral,nonmoral,no moral,nonmoral
10833582916,55018701,EvanGlassCNN,neutral,hcr,"Darrell Issa makes a point of order saying #hcr was product of backroom deals, out of public light and full of earmarks",nonmoral,nonmoral,authority,authority,fairness,authority,no moral,authority
10833690675,15976697,michellemalkin,neutral,hcr,RT @HealthReformNow: Procedural vote to move forward on #hcr passes 228-195,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
10832958969,47142049,ThankGod4Karma,negative,hcr,This bill is a fiscal Frankenstein.'' - Rep. Paul Ryan #hcr #tcot,nonmoral,nonmoral,nonmoral,nonmoral,authority,nonmoral,no moral,nonmoral
10833748652,19409472,cprater,negative,hcr,"RT @IngrahamAngle: NRCC count: 214 NO, 213 YES - Dahlkemper (PA), Berry (AR), Kanjorski (PA), McMahon (NY) undecided #tcot #hcr #killthebill",nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
10833516886,25297764,GoonrGrrl,positive,hcr,I would rather have the govt. involved in my health care than some rich asshole millionaire on a yacht telling me I can't have ANY! #hcr,nonmoral,fairness,authority,care,fairness,fairness,no moral,fairness
10833727297,50769180,IngrahamAngle,neutral,hcr,"NRCC count: 214 NO, 213 YES - Dahlkemper (PA), Berry (AR), Kanjorski (PA), McMahon (NY) undecided #tcot #hcr",nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
10833914040,14272120,Adriennevh,positive,hcr,Whoopi Goldberg said it best when speaking about #hcr.  directed to members of the house and senate ''Gimme what YOU got''.,nonmoral,fairness,fairness,nonmoral,care,fairness,no moral,fairness
10833782675,41373006,sarahlee310,negative,gop,RT @rollcall: Frank Rips Republicans for Egging On Chamber Protester http://bit.ly/cO555F #HCR #P2 #topprog,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
10834072434,18000662,PJTV,negative,hcr,Tune in to http://PJTV.com for LIVE COVERAGE of updates on the #hcr debate from D.C. http://bit.ly/9MZ97r #tcot #killthebill #obamacare,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
10834010344,23028892,wingnut71,positive,gop,"RT @SamiShamieh: Like it or not, the only people standing for liberty right now ARE Republicans. They deserve credit! #tcot #HCR",fairness,fairness,fairness,nonmoral,care,fairness,cheating,fairness
10834145810,23028892,wingnut71,negative,hcr,RT @NRCC: Pomeroy (D-ND) ends his silence - and career - will vote `YES' on #hcr takeover http://bit.ly/dnlCD8 #gopcodered via @AngelaRMLash,nonmoral,nonmoral,nonmoral,nonmoral,loyalty,nonmoral,no moral,nonmoral
10834223730,17936337,shoupgroup,neutral,dems,"RT @CapitolHillCNN Pro-life Dems huddled in back corner of the House chamber: Stupak, Mollohan, Pomeroy & Dahlkemper /via @nicopitney #hcr",nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,nonmoral,no moral,nonmoral
10834110548,26812918,afashionfan,negative,dems,RT @GregWHoward Switch to faxes to Stupak. His mail box is full and not answering. #tcot #ocra #sgp #hcr #hhrs #ucot,nonmoral,nonmoral,nonmoral,nonmoral,fairness,nonmoral,no moral,nonmoral
10834275404,7234682,QueenofSpain,positive,hcr,and did Rep. Smith really just say #hcr will mean more ''dead babies'' .... #myheadhurts,nonmoral,care,care,nonmoral,care,care,no moral,care
10834326729,42080417,KushielsMoon,negative,teaparty,RT @SgBz Another day another Tea Klux Klanner threatens Obama http://bit.ly/9ie4Ot #p2 #hcr #px #tcot #teaparty #christian,care,authority,care,care,nonmoral,care,harm,care
10834352185,25297764,GoonrGrrl,negative,gop,RT @StarSparkle_UK RT @argylestyle @ArrghPaine @CelluloidBlonde: GOP trusts fed govt to manage nuclear weapons but not health care? #hcr,nonmoral,authority,nonmoral,care,authority,authority,no moral,nonmoral
10834371700,20989764,BLeeDrake,positive,hcr,"Rep Langevin (D-RI) - if we secure #hcr today, we know many Americans will wake up to a better tomorrow for themselves and their families.",care,care,fairness,loyalty,loyalty,care,care,care
10834300833,820694,blogdiva,negative,conservatives,am sorry but any and all ''pro-life'' politicians need to be aborted from Congress. let's separate church & state NOW #HCR,nonmoral,purity,loyalty,purity,care,purity,purity,purity
